Urdu,English
Hissa,part
Tarikh,history
Talash karein,search
Sirf,only
Police,police
Socha,thought
Madad,help
Darkhwast,request
Qisam,kind
Mahina,month
Bhai,brother
Chhod do,let
Kyun ke,because
Rakhein,to put
Koi nahi,no
Phelaao,leash
Unhein,them
Shehar,city
Har,each
Bola,speak
Aaya,come
Chahiye,should
Bacha,baby
Bohot lamba,long time
Ghante,hours
Ke doran,while
Mulaqat,meet again
Koi bhi,any
Muqam,square
Boli,speak
Samjha,understood
Janta tha,knew
The,were
Intehaai,Warning
Yehan hai,here is
Kar sakta hai,could
Muamla,case
Dena,give
Qisam,type
Un ke,their
Diya,given
Train,train
Jism,body
Jaga,place
Aankhen,eyes
Tareeqa,way
Suno,listen
Jiska,whose
Mila hai,find
Pehla,first
Haara,lost
Haath,hand
Pehla,first
Taraf,side
Quwat,power
Purana,old
Ho,be
Yahan,here
Subah,morning
Bohot zyada,so much
Bacha,child
Nukta,point
Aaya,came
Is ke baad,after
Maazrat,sorry
Aayen,come
Samne,in front of
Ki taraf,towards
Minute,minutes
Darkhwast,request
Bedroom,bedroom
Rakh dia,placed
Khoobsurat,beautiful
Qanoon,law
Chahta hoon,would like to
Aaj,today
Shohar,husband
Wajah,cause
Aakhir kar,finally
Umeed hai,hope
Paani,water
Intezaar karo,Wait
Chala gaya,left
Naya,new
Naukri,job
Rukain,Stop
Kahe ga,would say
Zameen,Earth
Hisab,account
Diya,given
Door,far
Aakhir,end
Yaqeen hai,believe
Pyari,sweetheart
Bara,large
Balkay,rather
Ho ga,will have
Larkiyan,girls
Khelo,to play
Daftar,office
